Year,Date,Country,SubRegion,NumberOfParticipants
1896,1896-01-01,Greece,Southern Europe,102
1896,1896-01-01,Germany,Western Europe,19
1896,1896-01-01,United States,North America,14
1896,1896-01-01,France,Western Europe,12
1896,1896-01-01,Great Britain,Northern Europe,10
1896,1896-01-01,Hungary,Eastern Europe,7
1896,1896-01-01,Austria,Western Europe,3
1896,1896-01-01,Denmark,Northern Europe,3
1896,1896-01-01,Switzerland,Western Europe,3
1896,1896-01-01,Australia,Australia and New Zealand,1
1896,1896-01-01,Italy,Southern Europe,1
1896,1896-01-01,Sweden,Northern Europe,1
